country-year,Sum of  gdp_for_year ($) 
United States2015,217448568000000
United States2014,209131308000000
United States2013,200298204000000
United States2012,193863060000000
United States2011,186215112000000
United States2010,179572464000000
United States2008,176622984000000
United States2007,173731620000000
United States2009,173024868000000
United States2006,166270656000000
United States2005,157124712000000
United States2004,147299136000000
United States2003,138128040000000
United States2002,131730168000000
United States2001,127461888000000
United States2000,123417348000000
United States1999,115927488000000
United States1998,109070016000000
United States1997,103302180000000
United States1996,97202412000000
United States1995,91968720000000
United States1994,87705060000000
United States1993,82544616000000
United States1992,78471588000000
Japan2012,74438557456008
United States1991,74088516000000
Japan2011,73889515137888
United States1990,71755068000000
Japan2010,68401177376928
United States1989,67892316000000
Japan1995,65389395659772
United States1988,63031548000000
Japan2009,62776592095128
Japan2013,61868604675252
Japan2008,60454901581368
Japan1994,58884472613640
Japan2000,58650235928940
United States1987,58442604000000
Japan2014,58204962432456
Japan1996,58004550506484
Japan2004,57781786252344
Japan2005,57064927570944
United States1986,55081860000000
Japan1999,54744945868020
Japan2006,54364526699640
Japan2007,54183174173172
Japan1993,53449726523364
Japan2003,53347896854664
Japan1997,52976794122528
Japan2015,52739733034536
United States1985,52160808000000
Japan2001,51642531118116
Japan2002,49381395348840
Japan1998,48390117130476
Japan1992,46905713561568
Germany2014,46687282720164
Germany2011,45092379373416
Germany2013,45030162039336
Germany2008,45028387285776
Japan1991,43013040925212
Germany2012,42527806909776
Germany2007,41279441554884
Germany2009,41016060016668
Germany2010,41005134751788
Germany2015,40507333208904
Japan1990,37593811834176
United Kingdom2007,36892316926776
Japan1988,36860196158148
Japan1989,36658969995156
United Kingdom2014,36273933382572
Germany2006,36029356417008
France2008,35020594697520
United Kingdom2008,34686772058820
United Kingdom2015,34626843709932
Germany2005,34336923268248
France2011,34336898043180
France2014,34225989127560
Germany2004,33830941147260
France2013,33732932708448
United Kingdom2013,32877824171160
United Kingdom2006,32311352345904
France2009,32282667407616
France2012,32205902701116
United Kingdom2012,31945022021988
France2007,31886558992608
France2010,31711314587160
United Kingdom2011,31436404856796
Brazil2011,31394418938304
Germany1995,31099440425820
Japan1987,30393702877884
United Kingdom2005,30248421818184
Germany2003,30068803611744
Germany1996,30043982323884
Brazil2013,29673683038824
Brazil2012,29582264092980
Brazil2014,29471923501908
United Kingdom2010,29294080736760
United Kingdom2004,28782665690220
Italy2008,28688749963380
United Kingdom2009,28593911824272
France2006,27823123823856
Russian Federation2013,27565536468696
Italy2011,27315508855212
Germany1998,26918706235416
Germany1997,26624272501692
Russian Federation2012,26523083723340
Brazil2010,26506459754436
Germany1994,26471592141744
Italy2007,26436640569396
Germany1999,26399488600044
France2005,26353513244616
Italy2009,26221922200608
Italy2014,25820794418916
Italy2013,25565895847908
Italy2010,25500698930916
Germany1992,25477570444584
France2004,25388909858460
Germany2002,24949632975720
Japan1986,24947440004088
Italy2012,24873877884720
Germany1993,24822666508932
Russian Federation2014,24763951982064
Russian Federation2011,24619940784720
United Kingdom2003,24460741224492
Germany2001,23407785234900
Germany2000,23399447208408
Italy2006,23311605570192
Germany1991,22342486741308
Italy2005,22231943788092
Canada2013,22111536069960
France2003,22085769751692
Italy2015,21994421886408
Canada2012,21891465089376
Brazil2015,21626572484892
Italy2004,21579777005220
Canada2011,21463774872576
United Kingdom2002,21220899280572
Germany1990,21179615387004
Brazil2008,20349894863124
Brazil2009,20004237371208
United Kingdom1999,19987484225856
Russian Federation2008,19930132902000
United Kingdom2000,19775415342720
United Kingdom1998,19662133156680
Spain2008,19620184561296
United Kingdom2001,19458120051816
Canada2010,19361573073732
France1996,19268101038600
France1995,19213137074520
Australia2013,18884358264084
Italy2003,18835795936800
United Kingdom1997,18629803536348
Canada2008,18589574507964
Australia2012,18520932150960
Russian Federation2010,18298993344948
France1998,18037304869908
Spain2009,17989196999172
France2002,17931439864488
France1999,17911770722352
Spain2011,17856807099900
Spain2007,17752099644132
Canada2007,17579726282472
Australia2014,17579465711928
France1997,17434619015508
Spain2010,17179400995680
Republic of Korea2014,16936007114412
United Kingdom1996,16905379095168
France1992,16817591078064
Japan1985,16786712937852
Brazil2007,16765012151400
Australia2011,16731369417336
France1994,16727793005676
Republic of Korea2015,16593168325368
Spain2014,16522929732492
France2001,16517583892620
Canada2009,16453836059832
Russian Federation2015,16420808465892
France2000,16346987285796
Spain2013,16342250478588
Australia2015,16188408353436
Spain2012,16032227397672
United Kingdom1995,16022622692124
France1993,15873787352328
Italy1992,15789683830320
Canada2006,15784982369532
Mexico2014,15772623960876
Italy1996,15707152214832
Republic of Korea2013,15667259775264
Russian Federation2007,15596462972232
Mexico2013,15293316943308
France1991,15231321939312
France1990,15230155402968
Italy2002,15198127611516
Italy1998,15195710940108
Spain2006,15174617990220
Italy1999,14982758150436
Italy1991,14905312770408
Italy1997,14868611186904
Republic of Korea2012,14673687413820
Russian Federation2009,14671724363904
Republic of Korea2011,14429564191608
Mexico2012,14413080223248
Spain2015,14373478833288
Mexico2011,14165874767568
United Kingdom1992,14155914355920
Italy1990,14127915533292
Italy1995,14049448234872
Mexico2015,14035472069556
Canada2005,14032295758380
Italy2001,13947814228188
Spain2005,13887317497824
Australia2010,13731126574476
United Kingdom1991,13713566137572
Italy2000,13701119955780
United Kingdom1994,13685876951328
Republic of Korea2007,13472149855584
Mexico2008,13319868460068
Brazil2006,13291683574680
Italy1994,13147090004328
Republic of Korea2010,13133992064436
United Kingdom1990,13118032670460
Spain2004,12834666004464
Italy1993,12737342709492
United Kingdom1993,12736664667072
Mexico2010,12693615384612
Mexico2007,12632355387348
Australia2008,12631015219332
France1989,12302541640968
Canada2004,12278352036900
France1988,12226164519324
Republic of Korea2006,12141569485668
Republic of Korea2008,12026628635616
Russian Federation2006,11879166507348
Mexico2006,11704645580592
Turkey2013,11406952959348
Netherlands2008,11234738538156
Turkey2014,11210230985604
France1987,11210079668232
United Kingdom1989,11122617801048
Australia2009,11117378883816
Italy1989,11107176816252
United Kingdom1988,10921472785488
Spain2003,10882239277656
Republic of Korea2009,10823219440380
Mexico2009,10800544344540
Republic of Korea2005,10777646336592
Netherlands2011,10725087446424
Canada2003,10708571836416
Brazil2005,10699562109756
Italy1988,10664014961028
Brazil1997,10598395503900
Netherlands2014,10555621009500
Mexico2005,10529714656584
Turkey2012,10487786953224
Netherlands2013,10400160004404
Brazil1998,10364680939596
Turkey2015,10317562473528
Netherlands2009,10295193109200
Australia2007,10223553427020
Brazil1996,10205117195904
Netherlands2007,10073035860936
Netherlands2010,10036679246748
Turkey2011,9990284174328
Netherlands2012,9947361748764
Italy1987,9636665026596
Mexico2004,9386887223820
Mexico2002,9265276547220
Turkey2010,9262821224376
France1986,9257649398616
Brazil1995,9231664634196
Republic of Korea2004,9178567736532
Russian Federation2005,9168205295904
Netherlands2015,9095993439768
Canada2002,9095408143764
Mexico2001,9080475607080
Australia2006,8946262353996
United Kingdom1987,8941951299228
Canada2000,8907521379036
Canada2001,8836557334716
Mexico2003,8752035836124
Netherlands2006,8719789235976
Switzerland2014,8510190719220
Mexico2000,8494880934900
Spain2002,8461750423488
Switzerland2011,8394955663656
Switzerland2013,8262050081172
Republic of Korea2003,8166248688744
Switzerland2015,8151470002296
Netherlands2005,8142405173484
Canada1999,8112991855692
Brazil2004,8031799848204
Switzerland2012,8016523369476
Brazil2000,7865047745724
Canada1997,7833904376712
Netherlands2004,7806391854984
Netherlands2016,7772275415810
Turkey2009,7735678830972
Spain1996,7691979508740
Italy1986,7659287833224
Spain1999,7598329426800
Canada1998,7581759352884
Spain1992,7550428704048
Canada1996,7542556655664
Spain2001,7511710067112
Spain1998,7404503842296
Spain1995,7355276220972
Australia2004,7342851045672
Canada1991,7323938203716
Republic of Korea2002,7308240654144
Canada1995,7248379481196
Brazil1991,7234320000000
United Kingdom1986,7217431838172
Mexico1999,7202794488516
Brazil1999,7192662959832
Republic of Korea1996,7177188886812
Spain2000,7144831398564
Argentina2015,7136991424956
Canada1990,7127154610896
Canada1992,7108652271036
Russian Federation2004,7092200288916
Spain1997,7064304545460
Switzerland2010,7005395734392
Sweden2013,6944904017856
Canada1994,6937671353256
Canada1993,6926049143472
Spain1991,6907182444840
Sweden2014,6885812629308
Netherlands2003,6862361173812
Canada1989,6780668918916
Sweden2011,6757315959492
Republic of Korea2000,6739597510080
Brazil2001,6712467312984
Brazil2003,6699839049984
Brazil1994,6697343969964
Republic of Korea1997,6690036897264
Republic of Korea1995,6673571122956
Switzerland2008,6652361845440
France1985,6637660972404
Argentina2013,6624301683024
Argentina2012,6551788508412
Poland2014,6542155016640
Sweden2012,6526567773084
Switzerland2009,6498078004968
Spain1990,6421214985312
Poland2008,6405789473688
Republic of Korea2001,6396624915768
Belgium2014,6369251731608
Argentina2011,6361959378900
Spain1994,6349458927840
Poland2011,6345986229240
Mexico1994,6333758857512
Belgium2011,6324101446644
Mexico1998,6318025552536
Argentina2014,6315836084784
Poland2013,6290811871164
Spain1993,6283793781144
Norway2013,6282025531920
Belgium2013,6251105627436
Belgium2008,6223510766076
Russian Federation1991,6215555555556
Russian Federation1990,6201771288264
Sweden2008,6167587807800
Norway2012,6122749634724
Brazil2002,6095549852400
Canada1988,6088252214184
Russian Federation1989,6078002087520
Mexico1993,6008832787260
Mexico1997,6004961797308
Poland2012,6004329801936
Norway2014,5992062417348
Norway2011,5985978707112
Sweden2015,5975017311624
Belgium2012,5974610598828
United Kingdom1985,5871421971252
Sweden2010,5860532274780
Sweden2007,5853795940104
Republic of Korea1999,5822978752044
Belgium2009,5814633509304
Belgium2010,5802576374364
Switzerland2007,5758956411864
Poland2010,5751857526612
Poland2015,5728267409472
Belgium2007,5661853271280
Australia2003,5595536400696
Netherlands2002,5584426877472
Norway2008,5550653191488
Brazil1990,5543421384000
Russian Federation1992,5523486682812
Republic of Korea1994,5467235546700
Belgium2015,5460474757596
Italy1985,5408709792516
Netherlands1995,5358347515788
Netherlands1996,5348454901956
Netherlands1999,5303703388020
Austria2014,5302624989672
Poland2009,5277553924548
Brazil1993,5253582931680
Russian Federation1993,5221004566212
Australia1997,5214816090156
Netherlands1998,5189713397028
Canada1987,5175800904972
Austria2011,5173443721068
Switzerland2006,5171054308500
Russian Federation2003,5164173248784
Austria2008,5163531448656
Austria2013,5160824555664
Sweden2009,5155884397296
Norway2010,5149571432508
Poland2007,5148762599808
Sweden2016,5144599728060
Netherlands2001,5118883221480
Brazil1989,5107143720000
Argentina2010,5083529065104
Thailand2013,5043999999996
Sweden2006,5040385459872
South Africa2011,5002537949292
Australia2000,4980410726616
Spain1989,4963566456216
Netherlands2000,4953687119952
Netherlands1997,4946388073188
Mexico1996,4931707143720
Belgium2006,4917758374104
Austria2012,4913102809860
Switzerland2005,4904272247988
Thailand2014,4888072340352
Russian Federation1997,4859118409680
Thailand2015,4816793069316
Norway2007,4812991452996
Brazil1992,4807191000000
Australia1996,4803632776932
Austria2009,4802067574332
Australia1998,4786789662888
Thailand2012,4770697131240
South Africa2012,4755992431668
Russian Federation1995,4746372798756
Russian Federation1994,4740927614976
Australia2002,4733840519040
Switzerland2004,4729964263452
Austria2010,4702712958540
Russian Federation1996,4700639925084
Sweden2005,4668507580524
Austria2007,4664297344644
Australia1999,4660741947612
Belgium2005,4648389006348
Norway2015,4639957672836
Norway2009,4639469490960
Republic of Korea1993,4635634071288
Austria2015,4584791163696
Sweden2004,4580465103624
Colombia2013,4562302582320
Australia2001,4538581088328
Colombia2014,4538348600568
Canada1986,4529255127744
South Africa2010,4503577613280
Spain1988,4501664679900
Netherlands1994,4491497163816
Republic of Korea1998,4490896221024
Belgium2004,4450620312888
Thailand2011,4449824968764
Colombia2012,4435916404512
Australia1995,4406596376592
South Africa2013,4401952685748
Canada1985,4377077993412
Mexico1992,4363309961544
Argentina2008,4338696445320
Mexico1995,4320886910928
Netherlands1992,4299964630080
Greece2008,4253529630588
Denmark2008,4240332672960
Denmark2014,4235923598652
Switzerland2003,4234977848964
South Africa2014,4210854903504
Republic of Korea1992,4200613335036
Netherlands1993,4188453817272
Norway2006,4145095972428
Russian Federation2002,4141325264304
Poland2006,4136983758696
Denmark2011,4128038516352
Denmark2013,4123012627128
Thailand2016,4117551648330
Switzerland1995,4111404085248
Thailand2010,4093260114180
Austria2006,4031982687240
Colombia2011,4024981880424
Argentina2009,3995717814936
Sweden2003,3973306951260
Brazil1988,3964768583976
Switzerland1996,3961100260200
Greece2009,3960003025836
Denmark2012,3925786799544
Republic of Korea1991,3908810799756
Austria2016,3907999911470
Australia1991,3904299505536
Australia1992,3898537260636
Netherlands1991,3879845398872
Australia1994,3866415773088
Denmark2010,3863944204164
Denmark2009,3854896752408
Denmark2007,3833080441608
Belgium2003,3828033860040
Greece2007,3821975242812
Spain1987,3814586244444
South Africa2015,3812892470376
Austria2005,3791693023260
United Arab Emirates2008,3785695388868
Mexico1991,3773448184464
Netherlands1990,3771212012100
Singapore2014,3738473995740
Australia1993,3738347386176
Australia1990,3730056175452
Norway2005,3704664959256
Israel2014,3701003785680
Russian Federation2001,3679232087760
Poland2005,3673502086236
Singapore2013,3653451929988
Singapore2015,3649173116088
Switzerland2002,3617001722568
Denmark2015,3615581578332
Austria2004,3610850658060
Greece2010,3592338918696
Australia1989,3591811741716
Israel2015,3589126076280
South Africa2007,3588402132000
Argentina1998,3587379000000
South Africa2009,3566600768028
Switzerland1998,3540541824252
Brazil1987,3529009348716
Argentina1997,3514308000000
Israel2013,3509870222328
Colombia2015,3498235098396
Thailand2008,3496596974784
Singapore2012,3488084180208
Switzerland1999,3478949908140
United Arab Emirates2010,3477448059900
Belgium1995,3474807881772
Sweden1996,3457247241276
Greece2011,3453573865116
Argentina2007,3450366101172
South Africa2008,3445199898204
Colombia2010,3444218215656
Switzerland1997,3438229623924
Argentina2000,3410445000000
Finland2008,3404909916504
Argentina1999,3402276000000
Denmark2006,3394618954728
Thailand2009,3380521148700
Belgium1996,3376298110752
Sweden1992,3363747826980
Republic of Korea1990,3352192268568
Switzerland2001,3343575256692
Chile2013,3340611992328
Singapore2011,3311603116548
Ireland2008,3300240281232
Finland2011,3284090841276
Greece2006,3279812844564
Finland2014,3271311464280
Argentina1996,3265797000000
Switzerland2000,3264665999292
South Africa2006,3261733065372
Russian Federation1998,3251437403400
Sweden1999,3250175251740
Sweden1991,3244350376524
Finland2013,3239761339716
Ireland2007,3239010238164
Argentina2001,3224361000000
Brazil1986,3217646696760
Chile2012,3205467840684
Sweden1998,3201605554788
Sweden1997,3173732727348
Denmark2005,3173607697308
Norway2004,3172289935908
Sweden1995,3168623778612
Sweden2002,3167114643996
Thailand2007,3155311806528
Mexico1990,3152519377092
Portugal2008,3144091085400
Austria2003,3140349345372
Israel2011,3139542577008
Belgium1998,3127222938432
Chile2014,3127009086852
Belgium1999,3122429149800
Sweden2000,3117624151404
Russian Federation2000,3116501955204
Belgium2002,3106325239980
Netherlands1988,3102813013716
Sweden1990,3097851406908
Ireland2014,3097188168504
Argentina1995,3096381000000
United Arab Emirates2007,3094993601088
South Africa2005,3092056965012
Argentina1994,3089280000000
Israel2012,3087558954948
Finland2012,3080477593092
Finland2007,3064615384620
Poland2004,3061227034116
Netherlands1989,3060474728880
Belgium1997,3057763193508
United Arab Emirates2009,3042568304964
Chile2011,3027023904348
Finland2009,3017988330096
Denmark2004,3016476440052
Spain1986,3007661561604
Finland2010,2973597789216
Greece2005,2973396022380
Belgium1994,2954339265012
Greece2012,2948047999668
Portugal2011,2938741220544
Chile2015,2927993732856
Colombia2008,2927789254452
Portugal2009,2924948985828
Republic of Korea1989,2922312572604
Netherlands1987,2903025493476
Austria1995,2892459396756
Greece2004,2886255131856
Portugal2007,2882032033944
Sweden2001,2879007851604
Greece2013,2878344137400
Ireland2013,2872672088640
Ireland2011,2868222438984
Portugal2010,2859641321100
Belgium2000,2854859038140
Belgium2001,2854103624160
Austria1996,2847011385492
Greece2014,2844354951132
Argentina1993,2840900580180
Kazakhstan2013,2839614624936
Singapore2010,2837061386136
Ireland2009,2835736037784
Belgium1992,2832460613304
Czech Republic2008,2828623042812
Australia1988,2828399301516
Colombia2009,2805860046528
Israel2010,2803314265092
Argentina2006,2790687129804
Finland2015,2789577996792
Ireland2006,2785026420780
Portugal2014,2755557865464
South Africa2004,2747248174392
Argentina1992,2745463406424
Norway2003,2745029236464
Czech Republic2011,2735380195992
Sweden1994,2712959564544
Portugal2013,2712881915592
Belgium1993,2711096159052
Ireland2012,2706862238328
Philippines2011,2689717004484
Mexico1989,2675724558192
Brazil1985,2675313485220
United Arab Emirates2006,2665398502380
Ireland2010,2663416257144
Thailand2006,2661101842560
Kazakhstan2014,2656986873840
Chile2010,2622450614640
Austria1998,2619118852824
Denmark2003,2617151965020
Poland2003,2610156591504
Austria1999,2606229448116
Finland2006,2598630033876
Portugal2012,2596418143908
Israel2008,2590084255524
Sweden1989,2578504138920
Romania2008,2563260788436
Austria2002,2560533258048
Austria1997,2553484180860
Ireland2005,2539809177960
Belgium1991,2539653798468
Sweden1993,2519409512556
Czech Republic2013,2512829339952
Kazakhstan2012,2495982826392
Czech Republic2014,2493819968688
Czech Republic2010,2489734295028
Israel2009,2489032442892
Colombia2007,2488997935704
Czech Republic2012,2488517124252
Belgium1990,2477170098024
Qatar2014,2474696703300
Czech Republic2009,2474159785968
Finland2005,2453232185052
Sweden1988,2448819093816
Austria1994,2442422912904
Greece2003,2423091243792
Philippines2010,2395089302268
Romania2014,2393921891796
Argentina2005,2384845140144
Qatar2013,2384732967036
Poland2002,2384167647060
Netherlands1986,2379581976252
Austria2001,2368054550340
Republic of Korea1988,2363570344644
Austria2000,2361597346596
Finland2004,2361216786684
Russian Federation1999,2350869212028
Greece2015,2346501134916
Norway2002,2345020165836
Austria1992,2340937516152
Ireland2004,2326444201644
Kazakhstan2011,2311518095664
Singapore2009,2308900653144
Singapore2008,2306710580256
Romania2013,2298588298932
New Zealand2013,2289422457168
Poland2001,2286255160116
Austria1993,2284556651124
Argentina1991,2276639811216
Thailand2005,2271821999448
Czech Republic2007,2270724609120
Australia1987,2268493912128
Denmark1996,2251588804392
Qatar2012,2242002197808
Czech Republic2015,2241959286552
Denmark1995,2220083535624
Mexico1985,2213670688980
Kazakhstan2015,2212661185788
Romania2011,2212408580988
Mexico1988,2197729972284
Thailand1996,2196421849284
Australia1986,2183729714604
United Arab Emirates2005,2167404220560
Sweden1987,2165151441552
Spain1985,2163628946772
Australia1985,2162291938332
Ukraine2008,2159908869984
Singapore2007,2159775462804
Chile2008,2155661955348
Israel2007,2144480613036
Denmark2002,2143621923564
Denmark1999,2135582695452
Romania2015,2134933220160
Denmark1998,2123904011460
New Zealand2012,2114314638612
Romania2007,2111203707504
Ukraine2012,2109376548612
South Africa2003,2103083003952
Philippines2008,2090341635036
Kuwait2013,2089933709448
Kuwait2012,2088840300108
Norway2001,2088038969268
Austria1991,2085530132700
Chile2007,2083271618148
Denmark1997,2082451056096
Thailand2004,2074745713836
Romania2009,2071342144104
Chile2009,2068673981340
Poland2000,2062627182996
